summary;type;component;epic;assignee;storyPoints;versions;fixVersions;backendSubTasks;frontendSubTasks;requirementSubTasks;stdTestsSubTasks;automationSubTasks;labels
GDP-STD-1126 - USER CANNOT CHANGE THE VALUE OF PARAMETER THAT DOES NOT RESPECT THE REGEX PATTERN - MAP OF STRINGS;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1128 - SEARCH FOR A DEPLOYED APPLICATION;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1129 - SEARCH FOR A PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1130 - SEARCH FOR A SNAPSHOT;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1131 - GDP  SYSTEM SETTINGS APPLICATION OPENS THE ACCORDING TO THE LOCALE SET IN THE BROWSER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1132 - DEFAULT LOCALE IS USED  WHEN THE LOCALE SELECTED IN THE BROWSER IS NOT SUPPORTED;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1133 - SYSTEM SETTINGS FRONT-END DOES NOT SHOW DATA WHEN PARAMETER MANAGER BACK-END IS STOPPED;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1134 - SYSTEM SETTINGS FRONT-END DOES NOT SHOW DATA WHEN SYSTEM SETTINGS BACK-END IS STOPPED;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1135 - ON THE SAME PARAMETER GROUP, DIFFERENT PARAMETERS MUST HAVE A DIFFERENT NAME;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
GDP-STD-1136 - CREATE A PARAMETER;Story;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;system_settings,test_execution
